,Brand,Model,Gear,KM,Category,Energie,Year,Price,longitude,latitude,State
41,TOYOTA,YARIS,AUTOMATIQUE,43239,Second-Hand,HYBRIDE,2018,17340.0,4.7816712,45.7883595,AUVERGNE-RHÔNE-ALPES
42,TOYOTA,YARIS,AUTOMATIQUE,5071,Second-Hand,HYBRIDE,2021,18000.0,4.877194,45.811371,AUVERGNE-RHÔNE-ALPES
43,TOYOTA,C-HR,AUTOMATIQUE,48072,Second-Hand,HYBRIDE,2018,19910.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
44,TOYOTA,C-HR,AUTOMATIQUE,93431,Second-Hand,HYBRIDE,2019,20680.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
45,TOYOTA,YARIS,AUTOMATIQUE,98929,Second-Hand,HYBRIDE,2018,14980.0,3.122092,50.626434100000004,HAUTS-DE-FRANCE
46,VOLKSWAGEN,GOLF,AUTOMATIQUE,9979,Second-Hand,DIESEL,2021,28720.0,7.1129999999999995,49.114143,GRAND EST
47,VOLKSWAGEN,POLO,MANUELLE,9323,Second-Hand,ESSENCE,2021,20610.0,-0.6423265,44.861084999999996,NOUVELLE-AQUITAINE
48,VOLKSWAGEN,GOLF,AUTOMATIQUE,29155,Second-Hand,DIESEL,2021,28920.0,7.1129999999999995,49.114143,GRAND EST
49,VOLKSWAGEN,GOLF,MANUELLE,79649,Second-Hand,DIESEL,2019,20640.0,0.3572301,45.0368494,NOUVELLE-AQUITAINE
50,VOLKSWAGEN,POLO,MANUELLE,137936,Second-Hand,DIESEL,2017,12060.0,2.2792873,49.865504200000004,HAUTS-DE-FRANCE
51,VOLKSWAGEN,UP!,MANUELLE,53560,Second-Hand,ESSENCE,2017,9500.0,1.0465014000000001,49.4180309,NORMANDIE
52,VOLKSWAGEN,T-ROC,MANUELLE,33109,Second-Hand,DIESEL,2020,23550.0,7.1129999999999995,49.114143,GRAND EST
53,VOLKSWAGEN,GOLF,AUTOMATIQUE,27107,Second-Hand,DIESEL,2021,26630.0,7.1129999999999995,49.114143,GRAND EST
54,RENAULT,TWINGO,MANUELLE,67532,Second-Hand,ESSENCE,2016,9900.0,1.9330241000000001,48.75670359999999,ÎLE-DE-FRANCE
55,RENAULT,ZOE,AUTOMATIQUE,24785,Second-Hand,ELECTRIQUE,2020,12340.0,0.3698788,45.0440403,NOUVELLE-AQUITAINE
56,RENAULT,MEGANE,AUTOMATIQUE,12,New,DIESEL,2021,28270.0,4.8803728,45.720459999999996,AUVERGNE-RHÔNE-ALPES
57,RENAULT,CLIO,MANUELLE,12464,Second-Hand,ESSENCE,2021,17680.0,3.121595,50.631513,HAUTS-DE-FRANCE
58,RENAULT,CAPTUR,AUTOMATIQUE,72555,Second-Hand,DIESEL,2017,14700.0,0.3572301,45.0368494,NOUVELLE-AQUITAINE
59,RENAULT,TWINGO,MANUELLE,63096,Second-Hand,ESSENCE,2016,10200.0,0.3572301,45.0368494,NOUVELLE-AQUITAINE
60,RENAULT,CAPTUR,MANUELLE,99059,Second-Hand,ESSENCE,2016,12690.0,4.7816712,45.7883595,AUVERGNE-RHÔNE-ALPES
61,RENAULT,TWINGO,MANUELLE,23995,Second-Hand,ESSENCE,2019,12280.0,0.6384603999999999,48.7438061,NORMANDIE
62,RENAULT,CLIO,MANUELLE,13187,Second-Hand,DIESEL,2021,15870.0,0.7671490000000001,45.1825438,NOUVELLE-AQUITAINE
63,RENAULT,ZOE,AUTOMATIQUE,3364,Second-Hand,ELECTRIQUE,2021,22660.0,2.2734104,48.90294129999999,ÎLE-DE-FRANCE
64,RENAULT,CLIO,MANUELLE,9432,Second-Hand,DIESEL,2021,22880.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
65,RENAULT,MEGANE,MANUELLE,55715,Second-Hand,DIESEL,2018,20890.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
66,PEUGEOT,208,MANUELLE,3,New,DIESEL,2021,24400.0,-0.6884505,44.8228221,NOUVELLE-AQUITAINE
67,PEUGEOT,108,MANUELLE,11122,Second-Hand,ESSENCE,2020,12000.0,2.4005391,48.8954374,ÎLE-DE-FRANCE
