,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region
5689,PEUGEOT,108,MANUELLE,28492,Second-Hand,ESSENCE,2019,11570.0,44700,-1.6251634,47.2533576,ORVAULT,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE
5690,PEUGEOT,308,MANUELLE,122040,Second-Hand,DIESEL,2019,10160.0,44700,-1.6251634,47.2533576,ORVAULT,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE
5691,CITROEN,C4,MANUELLE,41613,Second-Hand,DIESEL,2019,15850.0,69200,4.8803728,45.72046,VÉNISSIEUX,AUVERGNE-RHÔNE-ALPES,RHÔNE
5692,CITROEN,C3,MANUELLE,11,New,ESSENCE,2021,16370.0,35510,-1.616473,48.1063327,CESSON-SÉVIGNÉ,BRETAGNE,ILLE-ET-VILAINE
5693,CITROEN,C5 AIRCROSS,MANUELLE,24787,Second-Hand,DIESEL,2020,28500.0,13127,5.2396471,43.4298529,VITROLLES,PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE
5694,CITROEN,C3,MANUELLE,4,New,ESSENCE,2021,16530.0,77090,2.6774626,48.83076390000001,COLLÉGIEN,ÎLE-DE-FRANCE,SEINE-ET-MARNE
5695,CITROEN,C4,AUTOMATIQUE,162060,Second-Hand,DIESEL,2014,11640.0,72160,0.4863878,48.05684460000001,"CONNERRÉ, DUNEAU, BEILLÉ, VOUVRAY-SUR-HUISNE, TUFFÉ, THORIGNÉ-SUR-DUÉ, SAINT-HILAIRE-LE-LIERRU, TUFFÉ VAL DE LA CHÉRONNE, SCEAUX-SUR-HUISNE, LA CHAPELLE-SAINT-RÉMY",PAYS DE LA LOIRE,SARTHE
5696,CITROEN,C4 CACTUS,MANUELLE,22807,Second-Hand,DIESEL,2019,15370.0,35510,-1.616473,48.1063327,CESSON-SÉVIGNÉ,BRETAGNE,ILLE-ET-VILAINE
5697,CITROEN,BERLINGO,MANUELLE,55852,Second-Hand,DIESEL,2017,11760.0,14540,-0.29883000000000004,49.07888300000001,"BOURGUÉBUS, TILLY-LA-CAMPAGNE, SOLIERS, GRENTHEVILLE, ROCQUANCOURT, CONTEVILLE, POUSSY-LA-CAMPAGNE, GARCELLES-SECQUEVILLE, HUBERT-FOLIE, SAINT-AIGNAN-DE-CRAMESNIL",NORMANDIE,CALVADOS
5698,CITROEN,BERLINGO,MANUELLE,60148,Second-Hand,DIESEL,2014,15380.0,11100,2.9833699,43.1594947,"BAGES, MONTREDON-DES-CORBIÈRES, NARBONNE",OCCITANIE,AUDE
5699,CITROEN,C4 CACTUS,MANUELLE,4300,Second-Hand,ESSENCE,2021,18040.0,42210,4.2311416,45.65143870000001,"SAINT-LAURENT-LA-CONCHE, SAINT-CYR-LES-VIGNES, CRAINTILLEUX, BELLEGARDE-EN-FOREZ, SAINT-ANDRÉ-LE-PUY, UNIAS, MONTROND-LES-BAINS, L’HÔPITAL-LE-GRAND, BOISSET-LÈS-MONTROND, MARCLOPT",AUVERGNE-RHÔNE-ALPES,LOIRE
5700,CITROEN,C5 AIRCROSS,MANUELLE,5,New,DIESEL,2021,28320.0,35510,-1.616473,48.1063327,CESSON-SÉVIGNÉ,BRETAGNE,ILLE-ET-VILAINE
5701,CITROEN,C5 AIRCROSS,AUTOMATIQUE,12,New,DIESEL,2021,33260.0,82370,1.3088943000000002,43.8990521,"VARENNES, CAMPSAS, LABASTIDE-SAINT-PIERRE, ORGUEIL, NOHIC, REYNIÈS, SAINT-NAUPHARY, VILLEBRUMIER, CORBARIEU",OCCITANIE,TARN-ET-GARONNE
5702,TOYOTA,YARIS,MANUELLE,29013,Second-Hand,ESSENCE,2019,14800.0,85390,-0.780335,46.65925,"MOUILLERON-EN-PAREDS, BAZOGES-EN-PAREDS, CHAVAGNES-LES-REDOUX, CHEFFOIS, TALLUD-SAINTE-GEMME, MOUILLERON-SAINT-GERMAIN, SAINT-GERMAIN-L’AIGUILLER, SAINT-MAURICE-LE-GIRARD",PAYS DE LA LOIRE,VENDÉE
5703,TOYOTA,C-HR,AUTOMATIQUE,14640,Second-Hand,HYBRIDE,2020,28040.0,27950,1.4518665000000002,49.1097595,"SAINTE-COLOMBE-PRÈS-VERNON, LA CHAPELLE-RÉANVILLE, SAINT-JUST, SAINT-VINCENT-DES-BOIS, SAINT-MARCEL, LA HEUNIÈRE, MERCEY, VILLEZ-SOUS-BAILLEUL, SAINT-PIERRE-D’AUTILS",NORMANDIE,EURE
5704,TOYOTA,YARIS,MANUELLE,117332,Second-Hand,ESSENCE,2014,9710.0,19100,1.4951682,45.150039,BRIVE-LA-GAILLARDE,NOUVELLE-AQUITAINE,CORRÈZE
5705,TOYOTA,YARIS,MANUELLE,14676,Second-Hand,ESSENCE,2021,13420.0,27140,1.7818483,49.2672716,"BAZINCOURT-SUR-EPTE, GISORS, SAINT-DENIS-LE-FERMENT, AMÉCOURT",NORMANDIE,EURE
5706,TOYOTA,COROLLA,AUTOMATIQUE,7886,Second-Hand,HYBRIDE,2021,29970.0,56000,-2.7859791,47.669626,VANNES,BRETAGNE,MORBIHAN
5707,TOYOTA,YARIS,MANUELLE,23888,Second-Hand,ESSENCE,2019,12550.0,71100,4.850298400000002,46.7475342,"LUX, LA CHARMÉE, SAINT-RÉMY, SEVREY, CHALON-SUR-SAÔNE",BOURGOGNE-FRANCHE-COMTÉ,SAÔNE-ET-LOIRE
5708,TOYOTA,YARIS,AUTOMATIQUE,40680,Second-Hand,HYBRIDE,2019,15240.0,76140,1.0531298,49.42261850000001,LE PETIT-QUEVILLY,NORMANDIE,SEINE-MARITIME
5709,TOYOTA,C-HR,AUTOMATIQUE,43430,Second-Hand,HYBRIDE,2019,22030.0,88000,6.4721694,48.1851224,"VAUDÉVILLE, DIGNONVILLE, LONGCHAMP, CHANTRAINE, DINOZÉ, DOGNEVILLE, ÉPINAL, DEYVILLERS, JEUXEY",GRAND EST,VOSGES
5710,TOYOTA,AYGO,MANUELLE,14684,Second-Hand,ESSENCE,2019,9710.0,25000,5.9941156,47.2429598,BESANÇON,BOURGOGNE-FRANCHE-COMTÉ,DOUBS
5711,TOYOTA,C-HR,AUTOMATIQUE,27468,Second-Hand,HYBRIDE,2019,21070.0,61100,-0.5748800000000001,48.73576019999999,"ATHIS-VAL DE ROUVRE, LA BAZOQUE, LES TOURAILLES, NOTRE-DAME-DU-ROCHER, LA SELLE-LA-FORGE, BRÉEL, DURCET, LANDIGOU, TAILLEBOIS, LANDISACQ, LA CHAPELLE-AU-MOINE, CERISY-BELLE-ÉTOILE, SAINTE-OPPORTUNE, SÉGRIE-FONTAINE, CALIGNY, FLERS, SAINT-PAUL, LA CARNEILLE, AUBUSSON, SAINT-GEORGES-DES-GROSEILLERS, RONFEUGERAI, LA CHAPELLE-BICHE, LA LANDE-SAINT-SIMÉON, LA LANDE-PATRY, MONTILLY-SUR-NOIREAU",NORMANDIE,ORNE
5712,TOYOTA,YARIS,AUTOMATIQUE,18863,Second-Hand,HYBRIDE,2019,16190.0,57050,6.1653131,49.13096210000001,"LONGEVILLE-LÈS-METZ, LORRY-LÈS-METZ, LE BAN SAINT-MARTIN, PLAPPEVILLE, METZ",GRAND EST,MOSELLE
5713,VOLKSWAGEN,GOLF,AUTOMATIQUE,6000,Second-Hand,HYBRIDE,2021,46380.0,40280,-0.487245,43.86569,"BENQUET, HAUT-MAUCO, BRETAGNE-DE-MARSAN, SAINT-PIERRE-DU-MONT",NOUVELLE-AQUITAINE,LANDES
5714,VOLKSWAGEN,GOLF,AUTOMATIQUE,6136,Second-Hand,DIESEL,2021,39870.0,31100,1.4202104,43.551262,TOULOUSE,OCCITANIE,HAUTE-GARONNE
