Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
CITROEN,C4 cactus,Manuelle,17600,Essence,2019,14 690,79000,-0.4812666666666667,46.3231
CITROEN,C4,Automatique,69735,Diesel,2017,13 490,51530,3.9440588235294123,49.0107
CITROEN,C5 aircross,Automatique,19681,Diesel,2020,28 790,25300,6.350984615384616,46.9
CITROEN,C4,Manuelle,29851,Essence,2017,13 790,84000,4.8089,43.9483
CITROEN,C4 cactus,Manuelle,34000,Diesel,2019,15 589,8000,4.7190666666666665,49.7221
CITROEN,C5 aircross,Automatique,9000,Diesel,2020,31 980,74600,6.073166666666666,45.8406
CITROEN,C3,Manuelle,3000,Essence,2021,16 990,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Automatique,23589,Diesel,2020,32 290,79000,-0.4812666666666667,46.3231
CITROEN,C5 aircross,Manuelle,10000,Diesel,2021,28 989,8000,4.7190666666666665,49.7221
CITROEN,C5 aircross,Manuelle,11605,Diesel,2019,26 990,79000,-0.4812666666666667,46.3231
CITROEN,C5 aircross,Manuelle,10,Diesel,2020,28 990,63000,3.0863,45.7797
CITROEN,C4,Manuelle,44882,Essence,2017,11 990,44700,-1.6219,47.2709
CITROEN,C5 aircross,Automatique,4800,Hybride,2021,38 490,73209,,
CITROEN,C5 aircross,Automatique,5,Diesel,2020,30 980,38170,5.6939,45.1768
CITROEN,C5 aircross,Manuelle,28453,Diesel,2019,23 990,73209,,
CITROEN,C4 picasso,Manuelle,108374,Diesel,2015,12 480,77100,2.8786666666666663,48.9265
CITROEN,C4 picasso,Automatique,70394,Essence,2017,14 990,74200,6.51566,46.3258
CITROEN,C4 picasso,Manuelle,111116,Diesel,2015,11 280,71300,4.423966666666666,46.7068
CITROEN,C5 aircross,Automatique,35500,Diesel,2018,28 990,73000,5.9237,45.6216
CITROEN,C4,Automatique,75935,Diesel,2017,13 990,16430,0.14593333333333333,45.7167
CITROEN,C4 cactus,Manuelle,21539,Diesel,2020,17 880,38320,5.7681999999999976,45.1374
CITROEN,C4 cactus,Manuelle,103935,Diesel,2018,11 480,2500,4.088127777777778,49.9352
CITROEN,C4 picasso,Automatique,89728,Diesel,2018,15 990,71103,,
CITROEN,C5 aircross,Automatique,7300,Diesel,2020,30 890,79000,-0.4812666666666667,46.3231
CITROEN,C4 picasso,Manuelle,90175,Diesel,2015,11 990,59640,2.377,51.033
CITROEN,C5 aircross,Manuelle,9343,Essence,2020,26 990,71000,4.820033333333334,46.3393
