,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region,Scoring
0,RENAULT,CLIO,MANUELLE,7577,Second-Hand,DIESEL,2020,17830.0,33310,-0.5104989999999999,44.878583,LORMONT,NOUVELLE-AQUITAINE,GIRONDE,7.27
1,RENAULT,CLIO,MANUELLE,49851,Second-Hand,DIESEL,2019,11540.0,24400,0.3698788,45.0440403,"SAINT-MÉDARD-DE-MUSSIDAN, ÉGLISE-NEUVE-D’ISSAC, MUSSIDAN, ISSAC, SAINT-ÉTIENNE-DE-PUYCORBIER, SAINT-LOUIS-EN-L’ISLE, BEAURONNE, BEAUPOUYET, SAINT-MICHEL-DE-DOUBLE, SAINT-FRONT-DE-PRADOUX, SOURZAC, SAINT-LAURENT-DES-HOMMES, BOURGNAC, SAINT-GÉRY, SAINT-MARTIN-L’ASTIER, LES LÈCHES",NOUVELLE-AQUITAINE,DORDOGNE,5.91
2,RENAULT,CLIO,MANUELLE,19318,Second-Hand,ESSENCE,2020,13360.0,24400,0.3698788,45.0440403,"SAINT-MÉDARD-DE-MUSSIDAN, ÉGLISE-NEUVE-D’ISSAC, MUSSIDAN, ISSAC, SAINT-ÉTIENNE-DE-PUYCORBIER, SAINT-LOUIS-EN-L’ISLE, BEAURONNE, BEAUPOUYET, SAINT-MICHEL-DE-DOUBLE, SAINT-FRONT-DE-PRADOUX, SOURZAC, SAINT-LAURENT-DES-HOMMES, BOURGNAC, SAINT-GÉRY, SAINT-MARTIN-L’ASTIER, LES LÈCHES",NOUVELLE-AQUITAINE,DORDOGNE,7.27
3,RENAULT,MEGANE,MANUELLE,124202,Second-Hand,DIESEL,2018,11530.0,59650,3.121595,50.631513,VILLENEUVE-D'ASCQ,HAUTS-DE-FRANCE,NORD,4.09
4,RENAULT,MEGANE,MANUELLE,66729,Second-Hand,DIESEL,2019,19360.0,59260,3.122092,50.626434100000004,"LEZENNES, LILLE",HAUTS-DE-FRANCE,NORD,5.45
5,RENAULT,CLIO,MANUELLE,7524,Second-Hand,ESSENCE,2020,15570.0,59650,3.121595,50.631513,VILLENEUVE-D'ASCQ,HAUTS-DE-FRANCE,NORD,7.73
6,RENAULT,CAPTUR,MANUELLE,42413,Second-Hand,ESSENCE,2018,15480.0,59260,3.122092,50.626434100000004,"LEZENNES, LILLE",HAUTS-DE-FRANCE,NORD,5.91
7,RENAULT,CLIO,MANUELLE,73262,Second-Hand,DIESEL,2016,11480.0,33310,-0.5108495,44.867689399999996,LORMONT,NOUVELLE-AQUITAINE,GIRONDE,5.0
8,RENAULT,CLIO,AUTOMATIQUE,17868,Second-Hand,DIESEL,2020,15240.0,33110,-0.6423265,44.861084999999996,LE BOUSCAT,NOUVELLE-AQUITAINE,GIRONDE,7.27
9,RENAULT,TWINGO,MANUELLE,14513,Second-Hand,ESSENCE,2020,14490.0,59650,3.121595,50.631513,VILLENEUVE-D'ASCQ,HAUTS-DE-FRANCE,NORD,7.27
